Bognor Regis		
""		
Berthing Facilities		
Location	Cars	Notes
No 1 Siding	20	**For Planning Purposes maximum 16 cars
No 2 Siding	15	
No 3 Siding	15	
Middle Road	12	No attachments to be made in Middle Road
Platform 1	12 *	
Platform 2	12 *	
Platform 3	12 *	
Platform 4	6 *	**For Planning Purposes maximum 4 cars
* Maximum to be berthed in Platforms 1 to 4 = 28		
**waiting confirmation of Network Change		
""		
Junction Margins		
First Movement	Second Movement	Margin
Trains departing Platforms 1-4	Conflicting arrival Platforms 1-4	4
""		
Permissive Working		
Attaching/Detaching and Platform Sharing is authorised as shown below -		
Platform 1	Attaching/Detaching and Platform Sharing	
Platform 2	Attaching/Detaching and Platform Sharing	
Platform 3	Attaching/Detaching and Platform Sharing	
Platform 4	Prohibited	
"Provided it is not propelled, a Class 1, 2, 5 or 0 train may be allowed to enter a platform line which is alreadyoccupied by one of these classes"		
SO645 BATTERSEA PARK TO PECKHAM RYE (ATLANTIC LINES)
""
Peckham Rye
Refer to Kent Timetable Planning Rules – SO680
SO650 BALHAM JUNCTION TO BECKENHAM JUNCTION		
""		
Streatham Hill		
""		
Berthing Facilities		
Location	Cars	Notes
Shed	68	Carriage Washing Facilities
Down Sidings	72	
Up Siding East	8	
""		
Dwell Time		
All GTR services	1	
""		
Limit of Shunt		
""	Length Limit	
Up Crystal Palace (Clear of TVC704)	8	
