SO680B TULSE HILL TO LEIGHAM JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Tulse Hill – Leigham Junction	3	3	
SO680C TULSE HILL TO WEST NORWOOD JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Tulse Hill – West NorwoodJunction"	3	3	
SO680D STREATHAM JUNCTION TO STREATHAM COMMON			
TIMING POINT	DOWN	UP	NOTES
""			
"Streatham Junction – StreathamCommon"	3	3	
SO680E STREATHAM NORTH JUNCTION TO STREATHAM SOUTH JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Streatham North Junction –Streatham South Junction"	3	3	
SO681 SURREY QUAYS SILWOOD JUNCTION TO OLD KENT ROAD JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Surrey Quays (Silwood Junction)to Old Kent Road Junction"	3	3	
SO700 STREATHAM SOUTH JUNCTION TO SUTTON (VIA WIMBLEDON)			
TIMING POINT	DOWN	UP	NOTES
""			
"Streatham South Junction(exclusive of Streatham SouthJunction) – Wimbledon"	"4 - Non-Stopping6 - Stopping"	"4 - Non-Stopping6 - Stopping"	
Wimbledon – Wimbledon Chase	"3 - Non-Stopping5 - Stopping"	"3 - Non-Stopping5 - Stopping"	
Wimbledon Chase – Sutton	"51⁄2 - Non-Stopping71⁄2 - Stopping"	"51⁄2 - Non-Stopping71⁄2 - Stopping"	
