STATION	PLATFORM	"USABLELENGTH"	NOTES
""		In metres	
Llanrwst	Single	60	
Llanrwst North	Down	126	
Llanrwst North	Up	132	
Neston	Up	85	Additional 25m OOU
"North Llanrwst see LlanrwstNorth"			
Penmaenmawr	Down	166	
Penmaenmawr	Up	170	
Penyffordd	Down	69	
Penyffordd	Up	71	
Pont–y–Pant	Single	98	
Prestatyn	Down	245	
Prestatyn	Up	245	
Rhosneigr	Down	91	
Rhosneigr	Up	92	
Rhyl	Down	306	
Rhyl	Up	347	Additional 8m beyond signal
Roman Bridge	Single	82	
Shotton (High Level)	Down	101	
Shotton (High Level)	Up	101	
Shotton (Low Level)	Down	106	
Shotton (Low Level)	Up	107	
Tal–y–Cafn	Single	107	
Ty Croes	Down	84	
Ty Croes	Up	85	
Valley	Down	37	
Valley	Up	45	
Wrexham Central	Single	52	Bay.
Wrexham General	1	198	Up Main line.
Wrexham General	2	197	Down Main line
Wrexham General	3	152	Up/Down Loop
Wrexham General	4	60	"Single Wrexham Exchange Junction/WrexhamCentral"
