""	NW9009 MARPLE WHARF JN TO ROSE HILL			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Marple Wharf Jn to Rose Hill	Single Line	Single line from 10 miles 56 chains to end of line	
""	NW9011 ROMILEY JN TO HYDE JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Romiley to Woodley (inclusive)	4		
""	"Woodley (exclusive) to Hyde Jn(inclusive)"	AB+2		
""	Romiley Jn to Hyde Jn		4	
""	NW9013 WOODLEY JN TO BREDBURY SIDINGS			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Woodley Jn to Bredbury Sidings	*	* One Train in Section (OTS)	
""	NW9017 HAZEL GROVE HIGH LEVEL JN TO NORTHENDEN JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Hazel Grove High Level Jn toNorthenden Jn"	Single Line	TCB timed as AB	
""	NW9019 BUXTON TO BRIGG’S SIDINGS			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Buxton SB to Brigg’s GroundFrame"	*	*	"* NST – one train in section. No access to/fromDown Main line at Buxton SB. Please refer toSection 5.3 NW9019 Buxton – Briggs Sidings"
""	NW9021 BUXTON TO HAZEL GROVE EAST JN			
""	TIMING POINT	DOWN	UP	NOTES
""	Buxton to Chapel-en-le-Frith	AB+2	AB+2	"When Chapel-en-le-Frith SB is closed, the section isBuxton to Furness Vale. See section 2.2 for SignalBox Opening Hours"
""	Chapel-en-le-Frith to Furness Vale	AB+2	AB+2	
""	Furness Vale to Hazel Grove	AB+2	AB+2	
""	NW9901 GARGRAVE TO CARLISLE SOUTH JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Gargrave to Hellifield	AB+2	AB+2	
""	Hellifield to Settle Jn	AB+2	AB+2	
""	Settle Jn to Horton-in-Ribblesdale	AB+2		"See section 5.3 for planning restrictions at ArcowQuarry"
""	Helwith Bridge to Settle Jn		AB+2	
""	"Horton-in-Ribblesdale toRibblehead"	AB+2		
