GW906 SWANSEA LOOP EAST JUNCTION TO SWANSEA LOOP WEST JN				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Swansea PT7592 (DM)		–	S	"Reversals on Down Main at SwanseaLoop West Jn"
""	"GW910 CRAVEN ARMS JUNCTION TO LLANDEILO JUNCTION (CENTRAL WALESLINE)"				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Craven Arms Junction		–		To/from Craven Arms – GW730
""	Broome	–	–	S	
""	Hopton Heath	–	–	S	
""	Bucknell	–	–	S	
""	Knighton	–	–		
""	Knucklas	–	–	S	
""	Llangunllo	–	–	S	
""	Llanbister Road	–	–	S	
""	Dolau	–	–	S	
""	Pen–y–bont	–	–	S	
""	Llandrindod Crossing	–	–		
""	Llandrindod	–	–		
""	Builth Road	–	–	S	
""	Cilmeri	–	–	S	
""	Garth	–	–	S	
""	Llangammarch	–	–	S	
""	Llanwrtyd	–	–		
""	Sugar Loaf	–	–	S	
""	Cynghordy	–	–	S	
""	Llandovery	–	–		
""	Llanwrda	–	–	S	
""	Llangadog	–	–	S	
""	Llandeilo	–	–		
""	Ffairfach	–	–	S	
""	Llandybie	–	–	S	
""	Ammanford	–	–	S	
""	Pantyffynnon	–	–		To/from Gwaun–cae–Gurwen – GW915
""	Pontarddulais	–	–	S	
""	Hendy Junction	–	–		"To/from Grovesend Colliery Loop Jn –GW897"
""	Morlais Junction	–	–		"To/from Grovesend Colliery Loop Jn –GW890"
""	Llangennech	–	–	S	
""	Bynea	–	–	S	
""	Genwen Jn	GL		XS	"To/from Llanelli Dock Jn East – GW918Reversal point for Trostre fromLlandeilo Jn direction"
""	Trostre Works	–	GL	S	
""	Llandeilo Junction	–	–		To/from Llanelli – GW900
""	GW915 GWAUN-CAE-GURWEN TO PANTYFFYNNON				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Gwaun–cae–Gurwen	–			
""	Pantyffynnon	–	–		To/from Hendy Jn – GW910
