""	GW610 CRANNAFORD L.C. (INCL.) TO EXETER ST. DAVID’S				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Crannaford Level Crossing				
""	Pinhoe	–	–		
""	Exmouth Jn CE Works		–	S	
""	Exmouth Jn Signal EJ7	–		S	
""	Exmouth Junction	–	–		To/from Topsham – GW611
""	St. James Park	–	–	S	Platform detail must be shown.
""	Exeter Central Signal E730	–	–	S	"Exeter Central east end shunting movesonly"
""	Exeter Central	–	–		Platform detail must be shown.
""	Exeter St. Davids	–	– RVL		"To/from Cowley Bridge Jn – GW108Platform detail must be shown"
""	GW611 EXMOUTH JUNCTION TO EXMOUTH				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Exmouth Junction	–	–		To/from Exeter Central – GW610
""	Polsloe Bridge	–	–	S	
""	Digby & Sowton	–	–	S	
""	Newcourt	–	–	S	
""	Topsham	–	–		
""	Exton	–	–	S	
""	Lympstone Commando	–	–	S	
""	Lympstone Village	–	–	S	
""	Exmouth		–		
""	GW618 NEWTON ABBOT EAST JUNCTION TO HEATHFIELD				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Newton Abbot East Junction				To/from Newton Abbot – GW108
""	Heathfield		–		
""	GW620 NEWTON ABBOT WEST JUNCTION TO GOODRINGTON C.S.				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Newton Abbot West Junction	–	–		To/from Newton Abbot – GW108
""	Torre	–	–	S	Platform detail must be shown.
""	Torquay	–	–	S	
""	Paignton Signal 3	–		S	For shunt moves to/from Paignton only
""	Paignton	–	–		Platform detail must be shown.
""	Paignton Crossover G.F. P&DSR		–	X	"To/from Paignton & Dartmouth SteamRailway"
""	"Goodrington Sands CarriageSiding"		–		
