""	Camden Jn		
""			
""	Adjustments to Sectional Running Times		
""	Movement Down	Reason	Value
""	"Passenger or ECS from Camden Road WestJn to the Down Slow which has not stopped atCamden Jn"	Differential Junction speed	"1 (to beapplied atnextmandatorytiming point)"
""			
""	Movement Up	Reason	Value
""	Passenger or ECS to Camden Road	Differential Junction speed	1
""			
""	Dwell Time		
""	"Change of electric power mode to/from non-DC platforms at Euston"	1	
""	Kilburn Up and Down Goods Loop		
""			
""	Adjustments to Sectional Running Times		
""	Movement Up	Reason	Value
""	"Up Slow to Loop approaching Kilburn Up andDown Goods Loop"	Approach Control	1
""	Willesden TMD		
""			
""	Adjustments to Sectional Running Times		
""	Movement Up	Reason	Value
""	ECS from the Up Slow	"Arrival is possible into either TMD Loop orArrival Road"	4
""			
""	Margins between arrivals and departures		
""	Minimum interval between all moves to/from Willesden TMD	12	
""	Willesden West London Jn		
""			
""	Adjustments to Sectional Running Times		
""	Movement Down	Reason	Value
""	"From Mitre Bridge Jn to Down Fast or DownSlow"	"Differential Junction speed and signalrestriction"	"1 Before &1 after"
""	"Down Fast or Down Slow to Relief Lines, SouthWest Sidings or Acton Lane Receptionapproaching West London Jn"	Approach Control	"1 forPassengerand ECS, 2for freight"
""	ECS from Camden Jn towards Willesden TMD	Slow crossover	1
""	"Train from Willesden TMD towards the DownSlow"	"Departure is possible from either TMD Loop orDeparture Road"	3
""			
