LN3340 ALREWAS (INCLUSIVE) TO WICHNOR JUNCTION			
ROUTE SECTION	SX	SO	SUN
""			
Alrewas to Wichnor	"Open from 0600Monday"	"0001 – 06001815 – 0015 (Sun)"	0745 – 1345
LN3505 NORTH STAFFORD JUNCTION TO STOKE JUNCTION (EXCLUSIVE)			
ROUTE SECTION	SX	SO	SUN
""			
EMCC (Burton work-station	Open Continuously	Open Continuously	Open Continuously
Hilton LC	0620 – 2235*	0620 – 2235*	1355 – 2245
Egginton Jn	0620 – 2235*	0620 – 2235*	1355 – 2245
Tutbury	0620 – 2235*	0620 – 2235*	1355 – 2245
Scropton	0620 – 2235*	0620 – 2235*	1355 – 2245
Sudbury	0620 – 2235*	0620 – 2235*	1355 – 2245
Uttoxeter	0620 – 2235*	0620 – 2235*	1355 – 2245
Caverswall	0620 – 2235*	0620 – 2235*	1405 – 2245
Foley Crossing	0620 – 2235*	0620 – 2235*	1415 – 2245**
Stoke PSB	Open Continuously	Open Continuously	Open Continuously
