Pitlochry	1	245	Up platform (total length)
""	180	"Up platform (Down direction standage withinsignal)"	
""	175	"Up platform (Up direction standage withinsignal)"	
Pitlochry	2	245	Down platform (total length)
""	175	"Down Platform (Down direction standage withinsignal)"	
""	175	"Down platform (Up direction standage withinsignal)"	
Plockton		132	Single Platform
Pollokshaws East	1	140	Up Platform
Pollokshaws East	2	138	Down Platform
Pollokshaws West	1	151	Down Platform
Pollokshaws West	2	151	Up Platform
Pollokshields East	1	121	Down Platform
Pollokshields East	2	146	Up Platform
Pollokshields West	1 & 2	152	Up Platform 1 / Down Platform 2
Polmont	1 & 2	195	Up Platform 1 / Down Platform 2
Port Glasgow	1	199	Up Platform
Port Glasgow	2	226	Down Platform
Portlethen	1 & 2	118	Up Platform 1 / Down Platform 2
Possilpark	1 & 2	110	Up Platform 1 / Down Platform 2
Prestonpans	1	134	Up Platform
Prestonpans	2	185	Down Platform
Prestwick Town	1	178	Up Platform
Prestwick Town	2	175	Down Platform
Prestwick International	1 & 2	165	Up Platform 1 / Down Platform 2
Priesthill & Darnley	1 & 2	109	Down Platform 1 / Up Platform 2
""			
Queens Park	1	134	Down Platform
Queens Park	2	136	Up Platform
""			
Rannoch	1 & 2	115	Down Platform 1 / Up Platform 2
Renton		138	Single Platform
Reston	1 & 2	270	Up Platform 1 / Down Platform 2
Robroyston	1 & 2	150	Down Platform 1 / Up Platform 2
Rogart	1	135	Up Platform
Rogart	2	101	Down Platform
Rosyth	1 & 2	182	Up Platform 1 / Down Platform 2
Roy Bridge		112	Single Platform
Rutherglen	1	134	Down Platform
Rutherglen	2	128	Up Platform
""			
Saltcoats	1 & 2	170	Up Platform 1 / Down Platform 2
Sanquhar	1 & 2	111	Down Platform 1 / Up Platform 2
Scotscalder		77	Single Platform
Scotstounhill	1 & 2	148	Up Platform 1 / Down Platform 2
Shawlands	1 & 2	155	Up Platform 1 / Down Platform 2
Shawfair	1 & 2	160	Down Platform 1 / Up Platform 2
Shettleston	1 & 2	161	Down Platform 1 / Up Platform 2
Shieldmuir	1 & 2	132	"Down Platform 1 (Bi-Directional) / Up Platform2"
Shotts	1	148	Down Platform
Shotts	2	152	Up Platform
Singer	1 & 2	182	Up Platform 1 / Down Platform 2
Slateford	1	153	Up Platform
