STATION	PLATFORM	"USABLELENGTH"	NOTES
""		In metres	
Kingham	Up	161	
Kings Nympton	Single	90	
Kintbury	1	105	
Kintbury	2	106	
Knighton	1	63	
Knighton	2	87	
Knucklas	Single	80	
Lamphey	Single	106	
Langley	"1 (DownMain Line)"	168	
Langley	"2 (Up MainLine)"	168	
Langley	"3 (DownRelief Line)"	168	
Langley	"4 (Up ReliefLine)"	169	
Lapford	Single	81	
Lawrence Hill	1	116	
Lawrence Hill	2	114	
Lelant	Single	92	
Lelant Saltings	Single	140	
Leominster	1	99	
Leominster	2	101	
Leominster	2	97	Top of Ramp to Sprinter Stop marker
Liskeard	1	208	
Liskeard	1	150	Top of ramp to Signal LD33
Liskeard	2	177	
Liskeard	2	161	Top of ramp to Signal LD3
Liskeard	3 (Bay)	120	"Top of ramp to stop blocks.  Stop blocks to sectionboard."
Lisvane & Thornhill	Down	124	
Lisvane & Thornhill	Up	124	
Llanaber	Single	32	
Llanbister Road	Single	80	
Llanbradach	Down	124	
Llanbradach	Up	124	
Llandaf	Down	143	
Llandaf	Up	131	
Llandanwg	Single	23	
Llandecwyn	Single	22	
Llandeilo	1	118	
Llandeilo	2	72	Usable length
Llandovery	1	67	
Llandovery	2	53	
Llandrindod	1	98	
Llandrindod	2	95	
Llandybie	Single	39	
Llanelli	1	170	
Llanelli	2	184	
Llangadog	Single	85	
Llangammarch	Single	108	
Llangennech	1	53	
Llangennech	2	53	
Llangynllo	Single	63	
