""	STATION	PLATFORM	"USABLELENGTH"	NOTES
""				
""	Staplehurst	1 - Up Main	245	
""	Staplehurst	2 - Down Main	244	
""	Stone Crossing	1 - Up Main	285	
""	Stone Crossing	2 - Down Main	338	
""	Stonegate	1 - Up Hastings	172	
""	Stonegate	2 - Down Hastings	171	
""	Stratford International	1 Up International#	410	"Down directionInternational services only"
""	Stratford International	1 Up International#	410	"Up directionInternational services only"
""	Stratford International	2 Up Domestic LL$	285	"Down directionDomestic services only"
""	Stratford International	2 Up Domestic LL$	285	"Up directionDomestic services only"
""	Stratford International	3 Down Domestic LL$	276	"Down directionDomestic services only"
""	Stratford International	3 Down Domestic LL$	276	"Up directionDomestic services only"
""	Stratford International	4 Down International#	410	"Down directionInternational services only"
""	Stratford International	4 Down International#	410	"Up directionInternational services only"
""	Strood	1 - Down North Kent	283	
""	Strood	2 - Up North Kent	276	
""	Strood	3 - Up Passenger Loop	286	
""	Sturry	1 - Up Main	118	
""	Sturry	2 - Down Main	121	
""	Sundridge Park	1 – Up	205	
""	Sundridge Park	2 – Down	205	
""	Swale	- Single	163	Down direction
""	Swale	- Single	163	Up direction
""	Swanley	1 - Up Chatham Fast	252	
""	Swanley	2 - Down Chatham Fast	251	
""	Swanley	3 - Up Chatham Slow	251	
""	Swanley	4 - Down Chatham Slow	250	
""	Swanscombe	1 - Up Main	242	
""	Swanscombe	2 - Down Main	242	
""	Sydenham Hill	1 - Up Chatham Main	183	
""	Sydenham Hill	2 - Down Chatham Main	182	
""				
""	Teynham	1 - Up Main	248	
""	Teynham	2 - Down Main	244	
""	Thanet Parkway	1 - Down Main	261	Down Direction
""	Thanet Parkway	2 - Up Main	261	Up Direction
""	Tonbridge	1 - Up Passenger Loop	255	Down direction
""	Tonbridge	1 - Up Passenger Loop	255	Up direction
""	Tonbridge	2 - Up Slow	252	Down direction
""	Tonbridge	2 - Up Slow	252	Up direction
""	Tonbridge	3 - Down Slow	247	Down direction
""	Tonbridge	3 - Down Slow	247	Up direction
""	Tonbridge	4 - Down Bay	165	
