LN815 PARKGATE JUNCTION TO SHEFFIELD TRAM PARKGATE TRANSFER			
TIMING POINT	DOWN	UP	NOTES
""			
Standard Headway	AB+2*	*Single Line TCB	
LN816 BEIGHTON JUNCTION TO WOODHOUSE JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Standard Headway	4	4	
LN818 HOLMES JUNCTION TO ROTHERHAM CENTRAL			
TIMING POINT	DOWN	UP	NOTES
""			
Standard Headway	AB+2*	*Single Line TCB	
LN826 DONCASTER SOUTH YORKSHIRE JUNCTION TO SWINTON			
TIMING POINT	DOWN	UP	NOTES
""			
Standard Headway	4	4	
Exceptions:			
Doncaster to Hexthorpe Jn	4	4	"Down3 stopping Passenger or Freight following non–stopfrom DoncasterUp3 non–stop can arrive behind stopping Passenger atDoncaster"
LN828 MEXBOROUGH JUNCTION TO ALDWARKE JUNCTION VIA KILNHURST			
TIMING POINT	DOWN	UP	NOTES
""			
Standard Headway	AB+2*	*Single Line TCB	
LN830 ALDWARKE JUNCTION TO WOODBURN JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Aldwarke Junction to Tinsley EastJunction"	4	4	
"Tinsley East Junction toWoodburn Junction"	AB+2*	*Single Line, TCB to be planned as AB	
