STATION	PLATFORM	"USABLELENGTH"	NOTES
""			
Kirkhill	1	137	Down Platform
Kirkhill	2	139	Up Platform
Kirknewton	1	99	Up Platform
Kirknewton	2	169	Down Platform
Kirkwood	1	102	Down Platform
Kirkwood	2	110	Up Platform
Kyle Of Lochalsh	1 & 2	183	Bay Platforms
""			
Ladybank	2	179	"Down Platform – Bi-Directional to/fromNewburgh"
Ladybank	1	137	Up Platform
Lairg	1	114	Down Platform
Lairg	2	118	Up Platform
Lanark	1	145	Bay Platform
Lanark	2	151	Bay Platform
Langbank	1 & 2	136	Up Platform 1 / Down Platform 2
Langside	1	151	Down Platform
Langside	2	149	Up Platform
Larbert	1 & 2	147	Up Platform 1 / Down Platform 2
Largs	1 & 2	170	Bay Platforms
Larkhall	1 & 2	155	Bay Platforms
Laurencekirk	1 & 2	147	Up Platform 1 / Down Platform 2
Lenzie	1	160	Up Platform
Lenzie	2	170	Down Platform
Leuchars	1	206	Up Platform
Leuchars	2	285	Down Platform
Leven	1 & 2	205	
Linlithgow	1 & 2	195	Up Platform 1 / Down Platform 2
Livingston North	1	148	Up Platform
Livingston North	2	160	Down Platform
Livingston South	1 & 2	120	Down Platform 1 / Up Platform 2
Loch Awe		123	Single Platform
Loch Eil O.B.		28	Single Platform
Lochailort		76	Single Platform
Locheilside		75	Single Platform
Lochgelly	1 & 2	147	Up Platform 1 / Down Platform 2
Lochluichart		74	Single Platform
Lochwinnoch	1 & 2	127	Up Platform 1 / Down Platform 2
Lockerbie	1	308	Down Platform
Lockerbie	2	302	Up Platform
Longniddry	1 & 2	131	Up Platform 1 / Down Platform 2
""			
Mallaig	1	127	Bay Platform
Mallaig	2	109	Bay Platform
Markinch	1	148	Up Platform
Markinch	2	173	Down Platform
Maryhill	1 & 2	110	Up Platform 1 / Down Platform 2
Maxwell Park	1	154	Up Platform
Maxwell Park	2	150	Down Platform
Maybole		141	Single Platform
Merryton		130	Single Platform
Milliken Park	1 & 2	130	Up Platform 1 / Down Platform 2
Milngavie	1 & 2	205	Bay Platforms
Monifieth	1	117	Up Platform
