Beckenham Junction		
Platform 4 depart to Up Chatham Main	"Down Beckenham Spur to Down ChathamMain passing service"	3
Shortlands Junction		
""		
Adjustments to Sectional Running Times		
Movement Up	Reason	Value
"All freight trains which will travel from  UpSlow to the Catford Loop"	Speed Differential	1
""		
Junction Margins		
First Movement	Second Movement	Value
"Freight train crosses from Up Chatham Slowto Up Catford Loop"	"Pass to Down Chatham Slow not stopping atShortlands"	3
""		
Freight Restrictions		
"Freight trains using the Up Ravensbourne Chord or Down Ravensbourne Chord should not have any pathingtime as the chord lines are steeply graded"		
""		
Length Limits		
"A train exceeding 250m/39SLU in length will foul 844 points in rear at Ravensbourne Chord Junction (CAT) whenstanding at VS177 on the Down Ravensbourne ChordTherefore, junction margins must be based on train’s departure time at Shortlands Junction"		
"A train exceeding 242m/37SLU in length will foul 845 points in rear at Ravensbourne Chord Junction (CAT) whenstanding at VS173 on the Down Catford LoopTherefore, junction margins must be based on train’s departure time at Shortlands Junction"		
Shortlands	
""	
Connectional Allowance	4
Bromley South		
""		
Connectional Allowance	4	
""		
Dwell Time		
All Services	1	
""		
Junction Margins		
First Movement	Second Movement	Margin
Depart Platform 2 towards Shortlands Junction	Arrive Platform 1 from Bickley Junction	2
Depart platform 2 towards Shortlands Junction	Pass platform 1 from Bickley Junction	3
Bickley	
""	
Connectional Allowance	4
""	
Junction Margins	
