""	STATION	PLATFORM	LENGTH	NOTES	
""					
""	Bedford St. Johns	Single	58		
""	Bedworth	Down	77		
""	Bedworth	Up	77		
""	Belle Vue	1	99		
""	Belle Vue	2	99		
""	Bentham	Down	136		
""	Bentham	Up	105		
""	Berkhamsted	1	246	Down Fast	
""	Berkhamsted	2	246	Up Fast	
""	Berkhamsted	3	246	Down Slow	
""	Berkhamsted	4	246	Up Slow	
""	Berkswell	Down	173		
""	Berkswell	Up	173		
""	Bermuda Park	Down	75		
""	Bermuda Park	Up	75		
""	Bescar Lane	Down	60		
""	Bescar Lane	Up	66		
""	Bescot Stadium	Down	89		
""	Bescot Stadium	Up	89		
""	Bicester North	1	193		
""	Bicester North	2	192		
""	Bicester Village	1	240	Up	
""	Bicester Village	2	230	Down	
""	Bidston	Down	119		
""	Bidston	Up	119		
""	Bilbrook	1	98 100		
""	Bilbrook	2	98 100		
""	Birchwood	Down	172		
""	Birchwood	Up	172		
""	Birkdale	1	141	Up line	
""	Birkdale	2	130	Down line	
""	Birkenhead Central	1	145	Down line	
""	Birkenhead Central	2	128	Up line	
""	Birkenhead Conway Park see Conway Park				
""	Birkenhead Hamilton Square see Hamilton Square				
""	Birkenhead North	1	111	Platform Loop	
""	Birkenhead North	2	128	Up Main line	
""	Birkenhead North	3	125	Down line	
""	Birkenhead Park	1	122	Down line	
""	Birkenhead Park	2	130	Up line	
""	Birmingham International	1	281		
""	Birmingham International	2	283		
""	Birmingham International	3	304		
""	Birmingham International	4	303		
""	Birmingham International	5	303		
""	Birmingham Moor Street	1	207		
""	Birmingham Moor Street	2	207		
""	Birmingham Moor Street	3	269		
""	Birmingham Moor Street	4	273		
""	Birmingham New Street	1A	157	BM6201 to BM5501	
""	Birmingham New Street	1B	159	BM5101 to BM6601	
""	Birmingham New Street	1	328	BM6201 to BM5101	
""	Birmingham New Street	2A	159	BM6202 to BM5502	
