STATION	PLATFORM	"USABLELENGTH"	NOTES
""			
Cottingham	Up	108	
Cottingley	Down	85	
Cottingley	Up	85	
Cramlington	Down	101	
Cramlington	Up	101	
Creswell	Down	79	
Creswell	Up	79	
Crews Hill	Down	126	
Crews Hill	Up	126	
Cross Gates	1	151	
Cross Gates	2	148	
Crossflatts	Down	102	
Crossflatts	Up	102	
Crowle	Down	90	
Crowle	Up	89	
Cuffley	Down	126	
Cuffley	Up	126	
Danby	Single	90	
Darlington	1	354	Up direction
Darlington	1	347	Down direction to T887 signal
Darlington	2	181	
Darlington	3	200	
Darlington	4	458	Both directions
Darlington	4	238	Up direction to T888 signal
Darlington	4a	134	Down direction to T895 signal
Darlington	4b	251	Down direction clear of 1080B points
Darnall	Down	108	
Darnall	Up	108	
Darton	Down	104	
Darton	Up	104	
Deighton	Down	74	
Deighton	Up	74	
Denby Dale	Single	65	
Dewsbury	Down	150	
Dewsbury	Up	166	
Dinsdale	Down	97	
Dinsdale	Up	97	
Dodworth	Single	95	
Doncaster	0	96	
Doncaster	1	327	Down direction
Doncaster	1	234	Down direction to D1481 Signal
Doncaster	1	318	Up direction to D278 Signal
Doncaster	2	105	
Doncaster	3a	246	Up direction from D292 to D282 Signal
Doncaster	3b	165	
Doncaster	4	299	Down Direction
Doncaster	4	257	Up Direction
Doncaster	5	57	
Doncaster	6	109	
Doncaster Middle Siding	Down	96	
Doncaster	7	105	
Doncaster	8	325	Down Direction
Doncaster	8	285	Up Direction
