STATION	PLATFORM	"USABLELENGTH"	NOTES
""			
Monifieth	2	116	Down Platform
Montrose	1	253	Up Platform – Bi-Directional
Montrose	2	215	Down Platform
Morar		75	Single Platform
Mosspark		118	Single Platform
Motherwell	1	275	Up Platform
Motherwell	2	274	Down Platform
Motherwell	3	251	Down Platform – Bi-Directional
Motherwell	4	162	Up Platform – Bi-Directional
Mount Florida	1 & 2	145	Down Platform 1 / Up Platform 2
Mount Vernon	1 & 2	110	Down Platform 1 / Up Platform 2
Muir Of Ord	1 & 2	209	Up Platform 1 / Down Platform 2
Muirend	1 & 2	180	Down Platform 1 / Up Platform 2
Musselburgh	1 & 2	120	Up Platform 1 / Down Platform 2
""			
Nairn	1	354	Bi-Directional Mainline Platform
Nairn	2	239	Up Platform 2 (Loop)
Neilston	1	144	Down Platform
Neilston	2	136	Up Platform
Newcraighall		143	Single Platform
New Cumnock	1 & 2	111	Down Platform 1 / Up Platform 2
Newton	1 & 2	137	"Down Platform 1 / Up Platform 2 – Bi-Directional"
Newton On Ayr	1 & 2	131	Up Platform 1 / Down Platform 2
Newtongrange		160	Single Platform
Newtonmore		212	Single Platform
Nitshill	1	138	Down Platform
Nitshill	2	139	Up Platform
North Berwick		148	Single Bay Platform
North Queensferry	1 & 2	147	Up Platform 1 / Down Platform 2
""			
Oban	3	187	
Oban	4	237	
""			
Paisley Canal		105	Single Bay Platform
Paisley Gilmour Street	1	250	Up & Down Bi-Directional Platform
Paisley Gilmour Street	2	231	Up & Down Bi-Directional Platform
Paisley Gilmour Street	3 and 4	251	Up & Down Bi-Directional Platform
Paisley St. James	1 & 2	175	Up Platform 1 / Down Platform 2
Partick	1	129	Up Platform
Partick	2	133	Down Platform
Patterton	1	148	Down Platform
Patterton	2	180	Up Platform
Perth	1	219	Up Platform
Perth	2	181	Down Platform
Perth	3	116	"Bay Platform * Usable length between signalP98 and buffers is 230m"
Perth	4	473	Up & Down Bi-Directional Platform
Perth	5	222	Bay Platform
Perth	6	170	Bay Platform
Perth	7	433	Up & Down Bi-Directional Platform
