Winchester		
All Services	11⁄2	
""		
Junction Margins		
First Movement	Second Movement	Margin
Down train passes/departs Platform 2	"Train departs from Baltic Siding towardsPlatform 2"	1
""		
Platform Re-occupation		
""	Margin	
Up line	3	
""		
Restrictions		
It is not possible for a down train to terminate in platform 1.		
Shawford Down Junction		
""		
Adjustment to Sectional Running Times		
Movement	Reason	Value
All services crossing to Down Slow	Slow Crossover	{1⁄2}
Shawford Up Junction		
""		
Adjustment to Sectional Running Times		
Movement	Reason	Value
"Up passenger trains passing from Up Slow toUp Main not stopping at Shawford"	Speed Differential	{1⁄2}*
* Applies approaching next timing point		
""		
"NOTE: Services on the Up Slow or Up Fast must not have more than 1 minute of pathing time between Eastleighand Shawford Up Junction. Services requiring regulation should instead be timed with a stop at Shawford UpJunction. No pathing is to be applied between Shawford Up Junction and Shawford."		
Allbrook		
""		
Junction Margins		
First Movement	Second Movement	Margin
Between all movements except as below		3
Down Fast or Down Slow Line train	Up train departing Reception Road	2
Eastleigh Signal E26
""
Length Restrictions
"A train standing at Signal E26 on the Down Slow which exceeds 612m / 95 SLU in length (exclusive of standbackallowance) will foul Allbrook Junction. Therefore, junction margins at Allbrook must be based on the train’sdeparture time at Signal E26 if over length."
Eastleigh East Junction		
""		
Junction Margins		
First Movement	Second Movement	Margin
