New Malden	4 - Down Slow	206	
New Milton	1 - Up	137	
New Milton	2 - Down	137	
Norbiton	1 - Up	206	
Norbiton	2 - Down	206	
North Camp	1	153	
North Camp	2	131	
North Sheen	1 - Up	205	
North Sheen	2 - Down	205	
""			
Overton	1 - Up	223	
Overton	2 - Down	223	
Oxshott	1 - Up	202	
Oxshott	2 - Down	203	
""			
Parkstone	1 - Up	130	
Parkstone	2 - Down	130	
Petersfield	1 - Up	241	
Petersfield	2 - Down	245	
Pinhoe	1 - Up	154	
Pinhoe	2 - Down	150	
Pokesdown	1 - Up	167	
Pokesdown	2 - Down	231	
Poole	1 - Up	247	Down direction
Poole	1 - Up	247	Up direction
Poole	2 - Down	247	
Portchester	1 - Up	123	
Portchester	2 - Down	125	
Portsmouth and Southsea	1 - Up (High level)	247	
Portsmouth and Southsea	2 - Down (High level)	247	
Portsmouth and Southsea	3 - Bay (Low level)	205	
Portsmouth and Southsea	4 - Bay (Low level)	253	
Portsmouth Harbour	1	163	
Portsmouth Harbour	3	244	
Portsmouth Harbour	4	244	
Portsmouth Harbour	5	244	
Putney	1 - Up Slow	207	
Putney	2 - Up Fast	205	
Putney	3 - Down Fast	204	
Putney	4 - Down Slow	206	
""			
"Queenstown Road(Battersea)"	2 - Up Windsor	208	Down direction
"Queenstown Road(Battersea)"	2 - Up Windsor	205	Up direction
"Queenstown Road(Battersea)"	3 - Down Windsor	204	
""			
Raynes Park	1 - Up Branch	206	
Raynes Park	2 - Up Slow	206	
Raynes Park	3 - Down Slow	208	
Raynes Park	4 - Down Branch	206	
Reading	6 - Up	268	
Reading	5 - Down	268	
Reading	4 – Down	268	
Reading Green Park	1- Up	150	Proposed Opening Date TBA
Reading Green Park	2- Down	150	Proposed Opening Date TBA
