STATION	PLATFORM	"USABLELENGTH"	NOTES
""		In metres	
Montpelier	Single	132	Usable length inside the barrier
Morchard Road	Single	90	
Moreton-In-Marsh	Down	198	
Moreton-in-Marsh	Up	183	
Morfa Mawddach	Single	91	
Mountain Ash	Down	97	
Mountain Ash	Up	97	
Nailsea & Backwell	1	122	
Nailsea & Backwell	2	121	
Nantwich	Down	118	
Nantwich	Up	105	
Narberth	Single	90	
Neath	1	232	
Neath	2	182	
Newbridge	1	150	
Newbridge	2	150	
Newbury	1 (Down)	291	
Newbury	2 (Up)	327	
Newbury	3 (Up) Bay	131	Top of ramp to stop blocks
Newbury	3 (Up) Bay	129	Top of ramp to yellow painted Stop marker
Newbury Racecourse	1 (Down)	180	Top of ramp to top of ramp
Newbury Racecourse	1 (Down)	89	Resurfaced and lit area only
Newbury Racecourse	2 (Up)	183	Top of ramp to top of ramp
Newbury Racecourse	2 (Up)	74	Resurfaced and lit area only
Newbury Racecourse	"3 (DownLoop)"	206	Unlit platform
Newcourt	Single	124	
Newport	1 (Down)	278	Usable length
Newport	1 (Down)	360	Top of ramp to signal NT1369
Newport	2 (Bi Di)	287	
Newport	3 (Bi Di)	311	"Top of ramp to top of ramp. Additional 31 metresavailable for Power Car/Loco ONLY for DOWNdirection trains"
Newport	4	250	
Newquay	1	242	
Newton Abbot	1 (Bi Di)	327	
Newton Abbot	2 (Down)	326	
Newton Abbot	3 (Up)	327	
Newton St Cyres	Single	120	
Newtown	Down	138	Bi-directional
Newtown	Up	140	Bi-directional
Ninian Park	Down	150	
Ninian Park	Up	150	
Oldfield Park	1	129	
Oldfield Park	2	129	
Oxford	1 (Bay)	157	
Oxford	2 (Bay)	161	
Oxford	3 (Up)	274	
Oxford	4 (Down)	275	
Paignton	1	251	
Paignton	2	209	
Pangbourne	"1 (DownRelief Line)"	149	
