SC203  INVERNESS TO WICK					
Timing Section	Type	"LHHST22X"	MU#	FRT	Remarks
""					
""	E	1	1	1	"Trains from Lairg or south thereof (excepttrains from the Kyle of Lochalsh line)"
SC205 DINGWALL TO KYLE OF LOCHALSH					
Timing Section	Type	"LHHST22X"	MU	FRT	Remarks
""					
Far North Services have allowances built in to cover speed restrictions except:					
Down – Weekdays					
""					
Up – Weekdays					
""					
SC207 GEORGEMAS JUNCTION TO THURSO					
Timing Section	Type	"LHHST22X"	MU	FRT	Remarks
""					
Far North Services have allowances built in to cover speed restrictions except:					
Down – Weekdays					
Approaching Georgemas Junction	E	2		2	
""					
