Portsmouth Harbour	
Platform Re-occupation	
""	Margin
"Between a departure and anarrival in the same Platform"	3
""	
Station Working Requirements	
"Platforms 3, 4 and 5 are restricted to 12 cars only and, if there are 12 cars they must not consist of more than twotrains."	
Platforming restrictions apply to trains formed of Class 165 or 166 – check Sectional Appendix for details.	
SW115 WORTING JUNCTION TO PINHOE
""
Worting Junction
See entry under route – SW105
Overton	
""	
Dwell Times	
"Class 159 DMUUp direction services departing between 0600 and 0900 or Down direction services arrivingbetween 1700 and 1930 Monday to Friday"	1
Whitchurch	
""	
Dwell Times	
"Class 159 DMUUp direction services departing between 0600 and 0900 or Down direction services arrivingbetween 1700 and 1930 Monday to Friday"	1
Andover	
""	
Dwell Times	
Class 159 DMU	11⁄2
Grateley	
""	
Dwell Times	
"Class 159 DMUUp direction services departing between 0545 and 0845 or Down direction services arrivingbetween 1715 and 1945 Monday to Friday"	1
Laverstock North Junction		
""		
Junction Margins		
First Movement	Second Movement	Margin
Between all movements		4 *$
"* If a down train is signalled via Laverstock Loop then a train signalled from Salisbury to the Romsey directionmust be held at signal SY40 until the train which has traversed Laverstock Loop has cleared signal SY34"		
