STATION	PLATFORM	"USABLELENGTH"	NOTES
""		In metres	
Tilehurst RL	"4 (Up ReliefLine)"	153	
Tir-Phil	Down	124	
Tir-Phil	Up	124	
Tiverton Parkway	1	248	
Tiverton Parkway	2	248	
Ton Pentre	Single	147	
Tondu	Single	84	
Tonfanau	Single	92	
Tonypandy	Single	147	
Topsham	1	138	
Topsham	2	123	
Torquay	1	237	
Torquay	2	232	
Torre	1	128	
Torre	2	144	
Totnes	1	193	
Totnes	2	200	
Trefforest	Down	143	
Trefforest	Up	143	
Trefforest Estate	Down	183	
Trefforest Estate	Up	183	
Trehafod	Down	137	
Trehafod	Up	137	
Treherbert	Single	135	
Treorchy	Single	124	
Troed-y-Rhiw	Single	139	
Trowbridge	1	121	
Trowbridge	2	154	Usable length
Truro	1 (Bay)	80	To the stop blocks 85.7
Truro	2 (Down)	199	
Truro	3 (Up)	211	
Twyford	5 (Bay)	110	Top of ramp to stop blocks
Twyford ML	"1 (DownMain Line)"	172	
Twyford ML	"2 (Up MainLine)"	182	
Twyford RL	"3 (DownRelief Line)"	244	
Twyford RL	"4 (Up ReliefLine)"	250	
Twyford RL	"4 (Up ReliefLine)"	180	Signal TR214 to Top of ramp (London end)
Ty Glas	Single	49	
Tygwyn	Single	22	
Tywyn	2 Down	123	Bi-directional
Tywyn	"2 Down(downdirection)"	116*	"Top of ramp to Block Marker 1164. (*123m to top oframp (Barmouth end))"
Tywyn	1 Up	123	Bi-directional
Tywyn	"1 Up (downdirection)"	116*	"Top of ramp to Block Marker 1166. (*123m to top oframp (Barmouth end))"
Umberleigh	Single	139	
Wargrave	Single	152	
