LN3615 HELPSTON JUNCTION TO SYSTON SOUTH JUNCTION					
Timing Section	Type	FL/ML	SL	GL	Remarks
""					
Down – SX Daytime					
Approaching Syston East Jn	E	1			
Up – SX Daytime					
Approaching Helpston Jn	E	1			
"LN3625 NOTTINGHAM EAST JUNCTION TO NEWARK FLAT CROSSING(EXCLUSIVE)"					
Timing Section	Type	FL/ML	SL	GL	Remarks
""					
Down – SX Daytime					
Approaching Newark Castle	E	1			
Up – SX Daytime					
"Approaching NewarkCastle/Newark Flat Crossing EastJunction"	E	1			
Approaching Netherfield Jn	E	1			
"LN3635 ALLINGTON WEST JUNCTION (EXCLUSIVE) TO NETHERFIELDJUNCTION"					
Timing Section	Type	FL/ML	SL	GL	Remarks
""					
Down – SX Daytime					
Approaching Netherfield Jn	E	2			
Up – SX Daytime					
"Approaching Allington WestJunction"	E	2			
""	P	3*			"*Non–stop trains towards Peterboroughonly. May be reduced by the amount ofany additional dwell time at Nottingham.For details of Nottingham dwell times referto Section 5.3."
