""					
""	LN674			High Level Bridge Jn to Greensfield Jn	
""	LN676			Park Lane Jn to King Edward Bridge South Jn	
""	LN678			Darlington North Jn to Eastgate	
LN682	King Edward Bridge South Jn to Petteril Bridge Jn				
LN684	Low Fell Jn to Norwood Jn				
LN694	Benton North Jn to Morpeth North Jn via Bedlington				
LN696	Hepscott Jn to Morpeth Jn				
LN698	Butterwell South Branch				
LN700	Butterwell North Branch				
LN702	Bedlington North Jn to Lynemouth Alcan				
LN706	West Sleekburn Jn to North Blyth				
LN708	Winning Jn to Marchey’s House Jn				
LN724	Holgate Jn to Skelton Jn				
LN736	Cleethorpes to Nunnery Main Line Jn via Retford				
LN738	Great Coates No.1 to Union Dock				
LN740	Grimsby Marsh West Jn to Humber Road Jn				
LN741	Habrough Jn to Ulceby South Jn				
LN742	Killingholme to Brocklesby Jn				
LN744	Ulceby North Jn to Barton on Humber				
LN746	Cottam Power Station to Clarborough Jn				
LN748	Retford Western Jn to Thrumpton West Jn				
LN750	Woodburn Jn to Deepcar				
LN752	Wrawby Jn to Marshgate Jn				
LN754	Scunthorpe Foreign Ore Branch				
LN756	Scunthorpe Trent Jn to Roxby				
LN758	Brancliffe East Jn to Kirk Sandall Jn				
LN762	St Catherine’s Jn to Decoy South Jn				
LN764	St Catherine’s Jn to Potteric Carr Jn (Low Ellers Curve)				
LN766	Bentley Jn to Hexthorpe Jn (Doncaster Avoiding Line)				
LN768	Mansfield Woodhouse to Shireoaks East Jn				
LN772	Warsop Jn to Shirebrook Jn				
LN782	Woodend Jn to Shireoaks West Jn				
LN784	High Marnham to Shirebrook East Jn				
LN786	Bevercotes Colliery Branch				
LN788	Thoresby Colliery Branch				
LN790	Rufford No.1 Coal Stacking Site to Clipstone East Jn				
LN800	Clipstone South Jn to Clipstone West Jn				
LN802	Welbeck Colliery Branch				
LN804	Tapton Jn to Gascoigne Wood Jn via Sheffield				
LN806	Tapton Jn to Masborough Jn via ‘Old Road’				
LN807	Dore South Jn to Dore West Jn				
LN808	Dore Station Jn to Earles Sidings (Excl.)				
LN809	Shepcote Lane West Jn to Tinsley Yard East End				
LN810	Shepcote Lane West Jn to Tinsley South Jn				
LN812	Shepcote Lane East Jn to Broughton Lane Jn				
LN814	Tinsley North Junction to Sheffield Tram W210				
LN815	Parkgate Junction to Sheffield Tram Parkgate				
LN816	Beighton Jn to Woodhouse Jn				
LN818	Holmes Jn to Rotherham Central Jn (Holmes Curve)				
LN824	Moorthorpe Jn to South Kirkby Jn				
LN826	Doncaster South Yorkshire Jn to Swinton				
LN828	Mexborough Jn to Aldwarke Jn via Kilnhurst				
LN830	Aldwarke Jn to Woodburn Jn				
LN832	Doncaster Bridge Jn to St. James Jn				
LN836	Doncaster Marshgate Jn to Neville Hill East Jn				
