SO680 SOUTH BERMONDSEY JUNCTION TO HORSHAM			
ROUTE SECTION	PASS		ECS SLIDE +
""			
Leatherhead and Effingham Junction	NA		P
SO680A HERNE HILL TO TULSE HILL			
ROUTE SECTION	PASS		ECS SLIDE +
""			
Herne Hill and Tulse Hill	P		P
SO680B TULSE HILL TO LEIGHAM JUNCTION			
ROUTE SECTION	PASS		ECS SLIDE +
""			
Tulse Hill and Leigham Junction	P		P
SO680C TULSE HILL TO WEST NORWOOD JUNCTION			
ROUTE SECTION	PASS		ECS SLIDE +
""			
Tulse Hill and West Norwood Junction	P		P
SO680D STREATHAM JUNCTION TO STREATHAM COMMON			
ROUTE SECTION	PASS		ECS SLIDE +
""			
Streatham Junction and Streatham Common	P		P
SO680E STREATHAM NORTH JUNCTION TO STREATHAM SOUTH JUNCTION			
ROUTE SECTION	PASS		ECS SLIDE +
""			
"Streatham North Junction and Streatham SouthJunction"	P		P
SO700 STREATHAM SOUTH JUNCTION TO SUTTON (VIA WIMBLEDON)			
ROUTE SECTION	PASS		ECS SLIDE +
""			
Streatham South Junction and Sutton (via Wimbledon)	P		P
