LN740 GRIMSBY MARSH WEST JUNCTION TO HUMBER ROAD JUNCTION			
ROUTE SECTION	SX	SO	SUN
""			
"Immingham/Grimsby LightRailway"	Open as Required		
LN742 KILLINGHOLME TO BROCKLESBY JUNCTION			
ROUTE SECTION	SX	SO	SUN
""			
"Humber Road Junction toImmingham West"	Continuous	0000 – 2400	0801 – 2400
LN744 ULCEBY NORTH JUNCTION TO BARTON ON HUMBER			
ROUTE SECTION	SX	SO	SUN
""			
Ulceby to Barton on Humber	0620 – 2232	0620 – 2232	1000 – 1940
LN758 BRANCLIFFE EAST JUNCTION TO KIRK SANDALL JUNCTION			
ROUTE SECTION	SX	SO	SUN
""			
"Brancliffe East Junction to StCatherine’s Junction"	Continuous	0000 – 1530	1400 – 2400
LN768 MANSFIELD WOODHOUSE TO SHIREOAKS EAST JUNCTION			
ROUTE SECTION	SX	SO	SUN
""			
"Mansfield Woodhouse toShireoaks Junctions"	Continuous	0000 – 2300	1400 – 2400
LN784 HIGH MARNHAM TO SHIREBROOK EAST JUNCTION			
ROUTE SECTION	SX	SO	SUN
""			
"High Marnham and Branches toShirebrook Junctions"	Continuous	0000 – 2200	1500 –2400
LN809 SHEPCOTE LANE WEST JUNCTION TO TINSLEY YARD EAST END			
ROUTE SECTION	SX	SO	SUN
""			
"Tinsley South Junction to TinsleyYard"	Continuous	0000 – 2359	1350 – 2400
