Clapham Junction	6 - Down Windsor Slow	214	
Clapham Junction	7 - Up Passenger Loop	206	
Clapham Junction	8 - Up Main Fast	183	"Must only be used for stopping passengertrains in an emergency."
Clapham Junction	9 - Down Main Fast	220	
Clapham Junction	10 - Up Main Slow	210	
Clapham Junction	11 - Down Main Slow	204	
Claygate	1 - Up	204	
Claygate	2 - Down	207	
"Cobham and StokeD’Abernon"	1 - Up	201	
"Cobham and StokeD’Abernon"	2 - Down	206	
Cosham	1 - Up	169	
Cosham	2 - Down	169	
Cranbrook	Single –Up	152	
Cranbrook	Single -Down	152	
Crewkerne	Single	148	Down direction
Crewkerne	Single	148	Up direction
Crowthorne	1 - Up	87	
Crowthorne	2 - Down	90	
""			
Datchet	1 - Up	171	
Datchet	2 - Down	143	
Dean	1 - Up	152	
Dean	2 - Down	152	
Dorchester South	1 - Up	171	Down direction
Dorchester South	1 - Up	171	Up direction.
Dorchester South	2 - Down	120	Down direction
Dorchester South	2 - Down	120	Up direction
Dorchester West	1 - Up	170	
Dorchester West	2 - Down	170	
Durnsford Rd Staff Halt	- Up Fast	8	
""			
Earley	1 - Down	168	
Earley	2 - Up	169	
Earlsfield	1 - Down Fast	205	
Earlsfield	2 - Up Slow	205	
Earlsfield	3 - Down Slow	205	
Eastleigh	1 - Up	253	
Eastleigh	2 - Up	253	
Eastleigh	2 - Down	253	
Eastleigh	3 - Down Passenger Loop	253	Down direction
Eastleigh	3 - Down Passenger Loop	190	Up direction
Effingham Junction	1 - Up	204	
Effingham Junction	2 - Down	205	
Egham	1 - Up	207	
Egham	2 - Down	209	
Epsom	1 - Down Portsmouth	208	Down direction
Epsom	1 - Down Portsmouth	208	Up direction
Epsom	2 - Down Epsom	206	Down direction
Epsom	2 - Down Epsom	206	Up direction
Epsom	3 - Up Portsmouth	206	
Epsom	4 - Up Epsom	208	
Esher	1 - Up Slow	247	
Esher	2 - Down Slow	247	
Ewell West	1 - Up	205	
