SX	6E42RB	07:35	Cliffe Hill Stud Farm GBRF	12:38	Doncaster Up Decoy	Y	GBRf
SX	6E50GA	14:00	Carlisle N.Y	15:49	Tyne S.S	Y	DB Cargo
SX	6E88GA	09:37	Mountsorrell Sidings	15:06	Tyne S.S	Y	FLHH
SX	6F16EW	04:58	Bescot Up Engineers Sidings	07:53	Cliffe Hill Stud Farm GBRF	Y	GBRf
FO	6F16FC	04:07	Liverpool Euro Metal (MDHC)	06:49	Crewe P.A.D		FLHH
MO	6F46EA	01:54	Stapleford & Sandiacre CCE Sidings	03:53	Cliffe Hill Stud Farm GBRF	Y	GBRf
MSX	6F46EA	01:54	Stapleford & Sandiacre CCE Sidings	04:17	Cliffe Hill Stud Farm GBRF	Y	GBRf
ThO	6F69FA	01:01	Crewe Basford Hall SSM	02:59	Liverpool Euro Metal (MDHC)		FLHH
SX	6G06EB	19:39	Crewe Basford Hall SSM	21:06	Bescot Up Engineers Sidings	Y	DRS
SX	6G16EA	11:23	Cliffe Hill Stud Farm GBRF	14:01	Bescot Up Engineers Sidings		GBRf
SX	6G45EV	16:49	Toton North Yard	19:34	Bescot Up Engineers Sidings	Y	GBRf
SX	6G94FA	12:22	Crewe Basford Hall SSM	13:34	Bescot Up Engineers Sidings		DRS
SX	6H33HA	20:14	Parkeston SS GBRF	22:59	Whitemoor Yard L.D.C. GBRF		GBRf
MSX	6K02FA	02:08	Bescot Up Engineers Sidings	03:21	Crewe Basford Hall SSM		DRS
SO	6K02FA	01:29	Bescot Up Engineers Sidings	02:38	Crewe Basford Hall SSM		DRS
SX	6K05FA	12:46	Carlisle N.Y.	17:52	Crewe Basford Hall SSM	Y	DRS
SX	6K27FH	14:43	Carlisle N.Y	20:45	Crewe Basford Hall SSM		DB Cargo
SX	6K50FV	15:13	Toton North Yard	17:42	Crewe Basford Hall SSN	Y	FLHH
SU	6K88FA	20:30	Carlisle N.Y.	23:31	Crewe Basford Hall S.S.M.	Y	Colas
SU	6K88PD	20:30	Carlisle N.Y.	23:31	Crewe Basford Hall S.S.M.	Y	Colas
SX	6K97FA	19:23	Toton North Yard	22:53	Crewe Basford Hall SSM	Y	DRS
SX	6L15HA	18:04	Toton North Yard	20:21	Whitemoor Yard L.D.C. GBRF	Y	GBRf
FO	6L16HB	12:14	Beeston Sims McIntyre LTD	14:30	Whitemoor Yard L.D.C. GBRF		FLHH
SX	6L27HJ	17:14	Mountsorell GBRF	20:53	Whitemoor Yard L.D.C. GBRF		GBRf
SX	6L32HB	06:58	Doncaster Up Decoy	09:53	Whitemoor Yard L.D.C. GBRF	Y	GBRf
SX	6L34HD	19:54	Hoo Junction Up Yard	00:14	Whitemoor Yard L.D.C. GBRF		GBRf
SX	6L37HA	09:54	Hoo Junction Up Yard	15:12	Whitemoor Yard L.D.C. GBRF		GBRf
SX	6L84HA	21:43	Doncaster Up Decoy	23:54	Whitemoor Yard L.D.C. GBRF	Y	GBRf
FSX	6M00EC	22:59	Tyne S.S	07:13	Mountsorell Sidings		FLHH
Su	6M00EC	22:40	Tyne S.S	05:31	Mountsorell Sidings		FLHH
SX	6M02FA	19:30	Tyne S.S	21:44	Carlisle N.Y	Y	DBS
THO	6M13ED	08:11	Whitemoor Yard L.D.C GBRF	12:09	Beeston Sims McIntyre LTD	Y	FLHH
SX	6M15EY	21:34	Whitemoor Yard L.D.C. GBRF	00:56	Toton North Yard	Y	GBRf
