STATION	PLATFORM	"USABLELENGTH"	NOTES
""		In metres	
Pangbourne (RL only)	"2 (Up ReliefLine)"	149	
Pantyffynnon	Single	76	
Par	1 (Down)	190	
Par	2(Up)	190	
Par	3 (Branch)	164	
Par	3 (Branch)	138	Top of ramp to signal
Parson Street	1	94	
Parson Street	2	92	Top of ramp to signal
Patchway	1	121	
Patchway	2	121	
Pembrey & Burry Port	1	145	
Pembrey & Burry Port	2	127	
Pembroke	Single	128	
Pembroke Dock	Single	131	
Penally	Single	151	
Penarth	Single	117	
Pencoed	1	102	
Pencoed	2	112	
Pengam	Down	124	
Pengam	Up	124	
Penhelig	Single	62	
Penmere	Single	92	
Penrhiwceiber	Single	94	
Penrhyndeudraeth	Single	66	
Penryn	Down	71	
Penryn	Up	71	
Pensarn	Single	148	
Pentre-Bach	Single	142	
Penychain	Single	108	
Pen-y-Bont	Single	81	
Penzance	1	265	Top of ramp to buffer stops
Penzance	2	265	Top of ramp to buffer stops
Penzance	3	238	Top of ramp to buffer stops
Penzance	4	225	Buffer stops to signal
Perranwell	Single	191	
Pewsey	1	177	
Pewsey	2	170	
Pilning	1	120	
Pilning	2	121	OOU – not passenger accessible
Pinhoe	1	150	
Pinhoe	2	150	
Plymouth	"3 (DownBay)"	78	
Plymouth	"4 (Downside)"	298	
Plymouth	5 (Single)	300	
Plymouth	6 (Single)	260	
Plymouth	7 (Single)	298	
Plymouth	8 (Single)	300	
Plymouth	"Dock Line 2(East End)"	171	Top of ramp to buffer stops. ECS only
Plymouth	"Dock Line 3(East End)"	171	Top of ramp to buffer stops. ECS only
