SO500 LONDON VICTORIA TO BRIGHTON		
""		
Timing Point	Down	Up
Windmill Bridge Junction to South Croydon	21⁄2	21⁄2
""		
Keymer Junction to Preston Park		
First Movement	Second Movement	Value
Down train calls at both Burgess Hill and Hassocks	Following service towards Preston Park	"41⁄2 at KeymerJunction andBurgess Hill"
Up train calls at both Burgess Hill and Wivelsfield	Following service	"41⁄2 at BurgessHill"
SO500A SELHURST JUNCTION TO GLOUCESTER ROAD JUNCTION				
TIMING POINT	DOWN	UP	NOTES	
""				
"Selhurst Junction – GloucesterRoad Junction"	3	3		
SO500B COPYHOLD JUNCTION TO ARDINGLY				
TIMING POINT	DOWN	UP	NOTES	
""				
Copyhold Junction – Ardingly	SINGLE LINE	One Train Working Only		
SO500C PRESTON PARK TO HOVE				
TIMING POINT	DOWN	UP	NOTES	
""				
Preston Park – Hove	"3 – Non-Stopping4 – Stopping"	"3 – Non-Stopping4 – Stopping"		
SO510 LONDON BRIDGE TO EPSOM DOWNS				
TIMING POINT	DOWN	UP	NOTES	
""				
"London Bridge – NorwoodJunction (exclusive of NorwoodJunction)"	"2 – Non-Stopping31⁄2 – Stopping"	"2 – Non-Stopping31⁄2 – Stopping"		
"Norwood Junction (inclusive ofNorwood Junction) – WestCroydon"	3	3	"2 minute non-stopping headway appliesbetween Norwood Junction and WindmillBridge Junction - see SO510B below"	
West Croydon – Sutton	"21⁄2 - Non-Stopping41⁄2 - Stopping"	"21⁄2 - Non-Stopping41⁄2 - Stopping"		
Sutton – Epsom Downs	SINGLE LINE	One Train Working Only		
SO510A SYDENHAM TO CRYSTAL PALACE				
TIMING POINT	DOWN	UP	NOTES	
""				
Sydenham – Crystal Palace	3	3		
