STATION	PLATFORM AND LINE	"USABLELENGTH"	NOTES
Winchelsea	- Single	80	Down direction
Winchelsea	- Single	80	Up direction
Wivelsfield	1 - Up Main	246	Down direction
Wivelsfield	1 - Up Main	246	Up direction
Wivelsfield	2 - Down Main	246	Down direction
Wivelsfield	2 - Down Main	246	Up direction
Woldingham	1 - Up East Grinstead	182	
Woldingham	2 - Down East Grinstead	182	
Woodmansterne	1 - Up Tattenham	123	
Woodmansterne	2 - Down Tattenham	123	
Worthing	1 - Up Passenger Loop	249	
Worthing	2 - Up Brighton	249	
Worthing	3 - Down Brighton	248	
""	SO250 FACTORY JUNCTION TO MITRE BRIDGE JUNCTION				
""	LOCATION	DIRECTION	"USABLELENGTH"	NOTES	
""	SLU	METRES			
""	"Kensington Olympia Down WestLondon (through line)"	Down	58	372	"This avoids fouling the track circuitspreventing a route being set via thePlatform Loop (Platform 2)"
""	"Kensington Olympia Up WestLondon (through line)"	Up	58	372	"This avoids fouling the track circuitspreventing a route being set via thePlatform Loop (Platform 2)"
""	SO250A GROSVENOR BRIDGE JUNCTION TO FACTORY JUNCTION				
""	LOCATION	DIRECTION	"USABLELENGTH"	NOTES	
""	SLU	METRES			
""	Stewarts Lane Depot Up Loop	Up	38	243	
SO250B BATTERSEA PIER JUNCTION TO LONGHEDGE JUNCTION					
""	LOCATION	DIRECTION	"USABLELENGTH"	NOTES	
""	SLU	METRES			
""	Battersea Loop (Runround)	Up	38	243	
""	SO500 LONDON VICTORIA TO BRIGHTON				
""	LOCATION	DIRECTION	"USABLELENGTH"	NOTES	
""	SLU	METRES			
""	Redhill Down Passenger Loop	Down	38	243	This is Platform 3
""	Down Redhill (Middle Road)	Down	43	278	
