Mossend West Junction		
""		
Adjustments to Sectional Running Times		
Movement Up	Reason	Value
"Up train to Mossend South Junction, notstopping Bellshill"	Approach Control	1
"Up train to Mossend South Junction, stoppingBellshill which are timed as 385"	Approach Control	1⁄2
""		
Junction Margins		
First Movement	Second Movement	Margin
Pass to Mossend South Junction	Depart Holytown	1
Pass to Mossend South Junction	"Freight pass from Mossend East Junction, notstopping Holytown"	31⁄2
Pass from Mossend East Junction	Depart Bellshill to Mossend South Junction	1⁄2
""		
Bellshill
""
"RestrictionPathing trime must not be used between Bellshill and Mossend West Junction on services routed towardsMossend South Junction owing to signaling constraints, dwell time should be increased at Bellshill"
Viewpark Sidings
""
"RestrictionWhilst a train is in transit between Uddingston Junction and Viewpark Sidings, a second train cannot be timedtowards Mossend West Junction until 1 minute after the first train has come to a stand in Viewpark Sidings."
