SW265 GUILDFORD TO WOKINGHAM				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Guildford	-	-		"Platform detail must be shown.To/from Shalford Junction - SW110"
Guildford U.C.H.S.		-	S	
Guildford Signal GD1305	-		S	
Wanborough	-	-	S	
Ash Signal GD1331	-		S	
Ash	-	-		
Aldershot South Junction	-	-		"To/from Aldershot North Junction -SW120A"
North Camp	-	-		
Farnborough North	-	-	S	
Blackwater Signal BEF2978		-		Timing point for all Up trains.
Blackwater	-	-		"Timing point for all down trains andstopping up trains."
Blackwater Signal BEF2980		-	S	Reverse moves only.
Blackwater Signal BEF2979	-			Timing point for all Down trains.
Sandhurst Signal BEF2982		-		Timing point for all Up trains.
Sandhurst	-	-	S	
Crowthorne	-	-	S	
Wokingham Signal BEF2994		-	S	
Wokingham Signal BEF2995	-		S	Shunt moves only.
Wokingham	-	-		"Platform detail must be shown.To/from Winnersh - SW210"
SW300 GOMSHALL TO SHALFORD JUNCTION				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Gomshall	-	-		To/from Dorking West - SO560
Chilworth	-	-		
Shalford GD1341	-		S	
Shalford	-	-		
Shalford Junction	-	-		To/from Guildford - SW110
