""	MD101 EUSTON TO ARMITAGE JN (EXCLUSIVE)					
""						
""	Down – 2100 Sun – 0600 Mon (Euston to Rugby timed as 2 track railway via Northampton using SL)					
""	Location	Type	FL/ML	SL	GL	Remarks
""	Approaching Ledburn Jn	E		2		
""	"Approaching Milton KeynesCentral"	E		4		
""						
""	Up – 2100 Sun – 0600 Mon (Euston – Rugby timed as 2 track railway via Northampton using SL)					
""	Location	Type	FL/ML	SL	GL	Remarks
""	Approaching Ledburn Jn	E		4		
""	Approaching Wembley Central	E		2		"Only applies to freights routed to WembleyYard or via Willesden Relief Lines"
""	"Approaching Willesden WestLondon Jn"	E		2		
""	MD105 HANSLOPE JN TO RUGBY (VIA NORTHAMPTON)					
""	Timing Section	Type	FL/ML	SL	GL	Remarks
""						
""	Down – 2100 Sun – 0600 Mon (Euston – Rugby timed as 2 track railway via Northampton using SL)					
""	Approaching Northampton	E	2			
""	Approaching Daventry South Jn	E	1*			"* Trains terminating at Daventry FreightTerminals"
""	Approaching Hillmorton Jn	E	1			
""						
""	Up – 2100 Sun – 0600 Mon (Euston – Rugby timed as 2 track railway via Northampton using SL)					
""	Approaching Daventry North Jn	E	1*			"* Trains terminating at Daventry FreightTerminals"
""	Approaching Northampton	E	2			
""	MD340 ASTON NORTH JN TO ALREWAS (EXCLUSIVE)					
""	Timing Section	Type	FL/ML	SL	GL	Remarks
""						
""	Down – Sat to Mon					
""	Approaching Lichfield City	E	1*			"* Does not apply to services formed with323/730 units"
""						
""	Up – Sat to Mon					
""	Approaching Aston	E	1*			"* Does not apply to services formed with323/730 units"
