LN3232 WIGSTON NORTH JUNCTION TO HINCKLEY (INCLUSIVE)			
TIMING POINT	DOWN	UP	NOTES
Wigston Nth Jn to Croft	4	4	
Croft to Hinckley	6	5	
LN3234 SYSTON EAST JUNCTION TO SYSTON NORTH JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Syston East Jn to Syston North Jn	AB+2*	AB+2*	*TCB planned as AB
LN3246 AMBERGATE JUNCTION TO MATLOCK			
TIMING POINT	DOWN	UP	NOTES
""			
Ambergate to Matlock	AB+2*	*Single Line, NST. One train In Section	
LN3249 LENTON SOUTH JUNCTION TO LENTON NORTH JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Lenton South Jn to Lenton North Jn	3	3	
LN3252 MANSFIELD JUNCTION TO TROWELL SOUTH JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Mansfield Jn to Trowell South Jn	5	5	
LN3255 RADFORD JUNCTION TO KIRKBY LANE END JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Radford Jn to Bulwell South Jn	5	5	
Bulwell South Jn to Bestwood Park	AB+2*	*Single Line. Passing loop at Bestwood Park	
Bestwood Park to Newstead	AB+2	Single Line	
"Newstead to Lindleys Lane (KirkbySouth Jn)"	AB+2*	"*Single Line. Passing loop at Newstead Loop, northof Newstead"	
"LN3261 TRENT SOUTH JUNCTION TO TOTON SOUTH JUNCTION (HIGH LEVELLINE)"			
TIMING POINT	DOWN	UP	NOTES
""			
Trent South Jn to Toton South Jn	5	5	
LN3264 ATTENBOROUGH JN TO MEADOW LANE JN (ATTENBOROUGH CURVE)			
TIMING POINT	DOWN	UP	NOTES
""			
Attenborough Jn to Meadow Lane Jn	5	5	
