STATION	PLATFORM	"USABLELENGTH"	NOTES
""			
Bridge Of Orchy	1 & 2	104	Up Platform 1 / Down Platform 2
Bridgeton	1	127	Down Platform
Bridgeton	2	130	Up Platform
Brora	1	149	Up Platform
Brora	2	146	Down Platform
Broughty Ferry	2	122	Down Platform
Broughty Ferry	1	134	Up Platform
Brunstane		143	Single Platform
Burnside	1	131	Down Platform
Burnside	2	133	Up Platform
Burntisland	1	154	Up Platform
Burntisland	2	151	Down Platform
Busby	1	133	Down Platform
Busby	2	143	Up Platform
""			
Caldercruix	1 & 2	150	Down Platform 1 / Up Platform 2
Cambuslang	1 & 2	178	Down Platform 1 / Up Platform 2
Camelon	1 & 2	147	Up Platform 1 / Down Platform 2
Cameron Bridge	1 & 2	200	
Cardenden	1 & 2	147	Up Platform 1 / Down Platform 2
Cardonald	1 & 2	170	Up Platform 1 / Down Platform 2
Cardross	1	165	Up Platform
Cardross	2	155	Down Platform
Carfin	1	92	Up Platform
Carfin	2	97	Down Platform
Carluke	1	146	Down Platform
Carluke	2	136	Up Platform
Carmyle	1	125	Down Platform 1
Carmyle	2	124	Up Platform 2
Carnoustie	1	142	Up Platform
Carnoustie	2	148	Down Platform
Carntyne	1 & 2	128	Down Platform 1 / Up Platform 2
Carrbridge	1	258	Bi-Directional Mainline Platform
Carrbridge	2	256	Bi-Directional Loop Platform
Carstairs	1	270	Down Platform (Bi-Directional)
Carstairs	2	290	Up Platform (Bi-Directional)
Cartsdyke	1 & 2	138	Up Platform 1 / Down Platform 2
Cathcart	1	153	Down Platform
Cathcart	2	151	Up Platform
Charing Cross	1 & 2	175	Up Platform 1 / Down Platform 2
Chatelherault		130	Single Platform
Clarkston	1 & 2	144	Down Platform 1 / Up Platform 2
Cleland	1 & 2	125	Down Platform 1 / Up Platform 2
Clydebank	1 & 2	193	Up Platform 1 / Down Platform 2
Coatbridge Central	1	134	Down Platform
Coatbridge Central	2	134	Up Platform
Coatbridge Sunnyside	1	144	Down Platform
Coatbridge Sunnyside	2	159	Up Platform
Coatdyke	1 & 2	129	Down Platform 1 / Up Platform 2
Connel Ferry		127	Single Platform
Conon Bridge		15	"Single Platform - Only one door of unit isopened"
Corkerhill		118	Single Platform
Corpach		79	Single Platform
