|              |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
|:-------------|:-------------|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|
| 1st Move     | 2nd Move >>> |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
|              | Arr          | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr |
|              | 1 S          | 2 S | 3 S | 4 S | 5 S | 5   | 5   | 6 S | 6   | 6   | 7 S | 7   | 7   | 8 S | 8   | 8   | 9 S | 9   | 9   | 10  | 10  | 11  | 12  | 13  | 13  | 14  | 14  | 15  | 16  | 17  |
|              |              |     |     |     |     | S2  | ML  |     | S2  | ML  |     | S2  | ML  |     | S2  | ML  |     | S2  | ML  | S   | ML  | ML  | ML  | ML  | EL  | ML  | EL  | EL  | EL  | EL  |
|              |              |     |     |     | S1  |     |     | S1  |     |     | S1  |     |     | S1  |     |     | S1  |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Arr 1 S      | 2            | 2   | 2   | 2   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Arr 2 S      | 2            | 2   | 2   | 2   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Arr 3 S      | 2            | 2   | 2   | 2   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Arr 4 S      | 2            | 2   | 2   | 2   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Arr 5 S / S1 | 2            | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Arr 5 S2     | 2            | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Arr 5 ML     | P            | P   | P   | P   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
