|                                                                                                                 |             |             |               |
|:----------------------------------------------------------------------------------------------------------------|:------------|:------------|:--------------|
| REDUCED HEADWAY FOR A TRAIN FOLLOWING FROM A STAND                                                              |             |             |               |
| Route Section                                                                                                   | Margin      |             |               |
| First train speed passing the loop                                                                              | 50 – 55 mph | 60 – 95 mph | 100 – 125 mph |
| Headway                                                                                                         |             |             |               |
| 2                                                                                                               | 1.5         | 1.5         | 1.0           |
| 3                                                                                                               | 2.5         | 2.0         | 1.5           |
| 4                                                                                                               | 3.0         | 2.5         | 2.0           |
| 5                                                                                                               | 4.0         | 3.0         | 2.5           |
| 6                                                                                                               | 4.5         | 4.0         | 3.0           |
| 7                                                                                                               | 5.5         | 4.5         | 3.5           |
| 8                                                                                                               | 6.0         | 5.0         | 4.0           |
| 9                                                                                                               | 7.0         | 5.5         | 4.5           |
| 10                                                                                                              | 7.5         | 6.0         | 5.0           |
| Note this does not apply in absolute block areas.                                                               |             |             |               |
| Note the normal headway applies at the next mandatory timing point.                                             |             |             |               |
| Note this shall not apply where the preceding train has an intermediate calling point before the next mandatory |             |             |               |
| timing point.                                                                                                   |             |             |               |
