|     |        |       |                            |       |                             |    |          |                     |       |                           |    |       |
|:----|:-------|:------|:---------------------------|:------|:----------------------------|:---|:---------|:--------------------|:------|:--------------------------|:---|:------|
|     | SX     |       |                            | M23EV |                             |    | 3:07     | Doncaster Up Decoy  | 17:02 | ountsorrell GBRF          | Y  | GBRf  |
|     | SX     |       |                            | M26EA |                             |    | 8:50     | Eastleigh East Yard | 14:35 | liffe Hill Stud Farm GBRF | Y  | GBRf  |
| SX  | 6M26EP | 08:50 | Eastleigh East Yard        | 17:02 | Mountsorell GBRf            | Y  | GBRf     |                     |       |                           |    |       |
| MO  | 6M28PD | 17:54 | Hinksey Sidings            | 21:53 | Bescot Up Engineers Sidings | Y  | Colas    |                     |       |                           |    |       |
| MSX | 6M28PD | 17:54 | Hinksey Sidings            | 22:00 | Bescot Up Engineers Sidings | Y  | Colas    |                     |       |                           |    |       |
| MSX | 6M36EA | 00:44 | Carlisle N.Y.              | 07:12 | Mountsorrel SDGS            | Y  | Colas    |                     |       |                           |    |       |
| MO  | 6M36AK | 03:08 | Crewe Basford Hall S.S.M.  | 06:22 | Mountsorrel SDGS            |    | Colas    |                     |       |                           |    |       |
| SX  | 6M40EV | 11:42 | Westbury Down TC           | 19:45 | Cliffe Hill Stud Farm GBRF  | Y  | Colas    |                     |       |                           |    |       |
| Su  | 6M42ED | 23:00 | Doncaster Up Decoy         | 03:53 | Cliffe Hill Stud Farm GBRF  | Y  | GBRf     |                     |       |                           |    |       |
| FSX | 6M42EF | 23:03 | Doncaster Up Decoy         | 04:17 | Cliffe Hill Stud Farm GBRF  | Y  | GBRf     |                     |       |                           |    |       |
| FSX | 6M50FA | 07:59 | Westbury Down T.C.         | 16:04 | Bescot Up Engineers Sidings | Y  | Colas    |                     |       |                           |    |       |
| SX  | 6M51FA | 06:25 | Millerhill S.S             | 10:46 | Carlisle N.Y                | Y  | DB Cargo |                     |       |                           |    |       |
| SX  | 6M60EJ | 11:07 | Whitemoor Yard L.D.C GBRF  | 14:05 | Mountsorrell GBRF           |    | GBRf     |                     |       |                           |    |       |
|     | SX     |       |                            | M73EV |                             |    | 0:50     | Doncaster Up Decoy  | 13:10 | oton North Yard           | Y  | FLHH  |
|     | SX     |       |                            | N06GV |                             |    | 9:55     | Doncaster Up Decoy  | 11:35 | ork Engineers Yard        |    | DB    |
|     | MSX    |       |                            | O26CV |                             |    | 0:48     | Hinksey Sidings     | 12:38 | astleigh East Yard        | Y  | Colas |
| SO  | 6O26CV | 10:50 | Hinksey Sidings            | 12:56 | Eastleigh East Yard         | Y  | Colas    |                     |       |                           |    |       |
| SX  | 6O27CA | 19:06 | Cliffe Hill Stud Farm GBRF | 02:19 | Eastleigh East Yard         | Y  | GBRf     |                     |       |                           |    |       |
| SX  | 6O27CC | 20:39 | Mountsorrel GBRF           | 02:19 | Eastleigh East Yard         | Y  | GBRF     |                     |       |                           |    |       |
| SX  | 6O31CA | 17:30 | Westbury Down T.C          | 19:06 | Eastleigh East Yard         | Y  | GBRf     |                     |       |                           |    |       |
| MSX | 6O35BA | 01:38 | Whitemoor Yard L.D.C. GBRF | 07:08 | Hoo Junction Up Yard        | Y  | GBRf     |                     |       |                           |    |       |
| SO  | 6O35BA | 01:38 | Whitemoor Yard L.D.C. GBRF | 06:30 | Hoo Junction Up Yard        |    | GBRf     |                     |       |                           |    |       |
| SX  | 6O36BA | 22:02 | Whitemoor Yard L.D.C. GBRF | 02:18 | Hoo Junction Up Yard        | Y  | GBRf     |                     |       |                           |    |       |
| SX  | 6O36PD | 21:02 | Whitemoor Yard L.D.C. GBRF | 01:32 | Hoo Junction Up Yard        | Y  | GBRf     |                     |       |                           |    |       |
| SX  | 6O41CA | 10:14 | Westbury Down T.C.         | 11:57 | Eastleigh East Yard         | Y  | GBRf     |                     |       |                           |    |       |
| SX  | 6S31   | 13:25 | Doncaster                  | 20:12 | Millerhill                  |    | DRS      |                     |       |                           |    |       |
| SX  | 6S49LA | 10:11 | Tyne S.S                   | 15:52 | Millerhill S.S              | Y  | GBRf     |                     |       |                           |    |       |
| SX  | 6S50LA | 12:16 | Carlisle N.Y               | 16:18 | Millerhill S.S              | Y  | DB Cargo |                     |       |                           |    |       |
| SX  | 6T93BA | 09:26 | Hoo Junction Up Yard       | 09:46 | Cliffe Brett Marine         |    | GBRf     |                     |       |                           |    |       |
| SX  | 6T96BA | 15:43 | Cliffe Brett Marine        | 16:05 | Hoo Junction Up Yard        |    | GBRf     |                     |       |                           |    |       |
| SX  | 6U76BA | 08:59 | Crewe Basford Hall SSM     | 11:05 | Mountsorrel Sidings         |    | DRS      |                     |       |                           |    |       |
| SX  | 6U77BA | 13:18 | Mountsorrel Sidings        | 16:12 | Crewe Basford Hall SSM SSN  | Y  | DRS      |                     |       |                           |    |       |
| SX  | 6U78BA | 08:57 | Hoo Junction Up Yard       | 09:40 | Grain Foster Yeoman GBRF    |    | GBRf     |                     |       |                           |    |       |
