|            |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
|:-----------|:-------------|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|
| 1st Move   | 2nd Move >>> |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
|            | Dep          | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep | Dep |
|            | 1 S          | 2 S | 3 S | 4 S | 5 S | 5   | 5   | 6 S | 6   | 6   | 7 S | 7   | 7   | 8 S | 8   | 8   | 9 S | 9   | 9   | 10S | 10  | 11  | 12  | 13  | 13  | 14  | 14  | 15  | 16  | 17  |
|            |              |     |     |     |     | ML  |     |     | ML  |     |     | ML  |     |     |     | ML  |     |     | ML  |     | ML  | ML  | ML  | ML  | EL  | ML  | EL  | EL  | EL  | EL  |
|            |              |     |     |     |     | ML1 | ML2 |     | ML1 | ML2 |     | ML1 | ML2 |     | ML1 | ML2 |     | ML1 | ML2 | *   |     |     |     |     |     |     |     |     |     |     |
| Dep 1 S    | 2c           | 2   | 2   | 2   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 2 S    | 2            | 2c  | 2   | 2   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 3 S    | 2            | 2   | 2c  | 2   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 4 S    | 2            | 2   | 2   | 2c  | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 5 S    | 2            | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 5 ML / | P            | P   | P   | P   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| ML1        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 5 ML2  | P            | P   | P   | P   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
