|                       |                   |           |                                          |
|:----------------------|:------------------|:----------|:-----------------------------------------|
| Station               | Platform          | Effective | Notes                                    |
|                       |                   | Length m  |                                          |
| Cantley               | 1 (Up)            | 165       | (118m in operational use)                |
| Cantley               | 2 (Down)          | 159       | (116m in operational use)                |
| Chadwell Heath        | 1 (Up Main)       | 211       |                                          |
| Chadwell Heath        | 2 (Down Main)     | 213       |                                          |
| Chadwell Heath        | 3 (Up Electric)   | 214       |                                          |
| Chadwell Heath        | 4 (Down Electric) | 213       |                                          |
| Chafford Hundred      | Single            | 242       |                                          |
| Chalkwell             | 1 (Up)            | 248       |                                          |
| Chalkwell             | 2 (Down)          | 248       |                                          |
| Chappel & Wakes Colne | Single            | 107       | TAWS fitted 3-car Class 755 units only   |
| Chelmsford            | 1 (Up)            | 247       |                                          |
| Chelmsford            | 2 (Down)          | 248       |                                          |
| Cheshunt              | 1 (Up)            | 245       |                                          |
| Cheshunt              | 2 (Down)          | 257.7     |                                          |
| Cheshunt              | 3 (Bay)           | 168.6     |                                          |
| Chingford             | 1                 | 172       |                                          |
| Chingford             | 2                 | 197.2     |                                          |
| Chingford             | 3                 | 164.9     |                                          |
| Clacton-on-Sea        | 1                 | 213       |                                          |
| Clacton-on-Sea        | 2                 | 259       |                                          |
| Clacton-on-Sea        | 3                 | 197       |                                          |
| Clacton-on-Sea        | 4                 | 245       |                                          |
| Clapton               | 1 (Up)            | 182.2     |                                          |
| Clapton               | 2 (Down)          | 189.5     |                                          |
| Colchester            | 1                 | 251       |                                          |
| Colchester            | 2                 | 260       |                                          |
| Colchester            | 3                 | 248       |                                          |
| Colchester            | 4                 | 318       | (256m in operational use)                |
| Colchester            | 5                 | 220       |                                          |
| Colchester            | 6                 | 223       |                                          |
| Colchester Town       | Single            | 260       | (250m in operational use)                |
| Cressing              | Single            | 178       | 10-car 720 permitted with ASDO operation |
| Cromer                | 1                 | 139       |                                          |
| Cromer                | 2                 | 139       |                                          |
| Crouch Hill           | 1 (Up)            | 88.2      |                                          |
| Crouch Hill           | 2 (Down)          | 88.3      |                                          |
| Dagenham Dock         | 1 (Up)            | 247       |                                          |
| Dagenham Dock         | 2 (Down)          | 243       |                                          |
| Dalston Kingsland     | 1 (Westbound)     | 107       |                                          |
| Dalston Kingsland     | 2 (Eastbound)     | 128       |                                          |
| Darsham               | 1 (Up)            | 81        |                                          |
| Darsham               | 2 (Down)          | 98        |                                          |
| Derby Road            | 1 (Up)            | 137       | (80m in operational use)                 |
| Derby Road            | 2 (Down)          | 137       | (74m in operational use)                 |
| Diss                  | 1 (Up)            | 250       |                                          |
| Diss                  | 2 (Down)          | 250       |                                          |
| Dovercourt            | Single            | 166       |                                          |
| Downham Market        | 1 (Up)            | 183       |                                          |
| Downham Market        | 2 (Down)          | 181       |                                          |
| Dullingham            | 1 (Down)          | 82        |                                          |
| Dullingham            | 2 (Up)            | 86        |                                          |
