|                                                                               |            |            |              |
|:------------------------------------------------------------------------------|:-----------|:-----------|:-------------|
| Timetable Development Dates                                                   | Principle  | Subsidiary | Specified    |
|                                                                               | Change     | Change     | Winter       |
|                                                                               | Date       | Date       | Intermediate |
|                                                                               |            |            | Point        |
| D73 - Formal Notification of Process Dates                                    | 06/01/2023 | 05/05/2023 |              |
| D-70 Issue draft International Freight Capacity Notice                        | 27/01/2023 |            |              |
| D-60 Issue updated International Freight Capacity Notice                      | 07/04/2023 |            |              |
| Principle                                                                     |            |            |              |
| Change                                                                        |            |            |              |
| Date                                                                          |            |            |              |
| Subsidiary                                                                    |            |            |              |
| Change                                                                        |            |            |              |
| Date                                                                          |            |            |              |
| D-90 Network Rail Issues Possessions Strategy Notice                          | 09/09/2022 | 06/01/2023 |              |
| D-64 Network Rail issues its decision of Possession Strategy Notice           | 10/03/2023 | 07/07/2023 |              |
| D-64 Start of NR Consultation of changes to EAS                               | 10/03/2023 | 07/07/2023 |              |
| D-60 End of NR Consultation of changes to EAS                                 | 07/04/2023 | 04/08/2023 |              |
| D-59 Network Rail issues the draft EAS for consultation                       | 14/04/2023 | 11/08/2023 |              |
| D-44 Network Rail Issues Revised EAS                                          | 28/07/2023 | 24/11/2023 |              |
| D64 – NR consults Timetable Participants on its proposed changes to the TPRs. | 10/03/2023 | 07/07/2023 |              |
| D43 – End of NR consultation of proposed changes to TPRs                      | 04/08/2023 | 01/12/2023 |              |
| D40 Network Rail issues revised TPR                                           | 25/08/2023 | 22/12/2023 |              |
| D37 Timetable Participants may appeal the revised TPR                         | 15/09/2023 | 12/01/2024 |              |
| D22 Consultation to make any minor revisions to TPRs ends                     | 29/12/2023 | 26/04/2024 |              |
| D47 – Notification by TT Participants of major TT changes                     | 07/07/2023 | 03/11/2023 |              |
| D47 – Start of Initial Consultation Period                                    | 07/07/2023 | 03/11/2023 |              |
| D40 – Network Rail consults International Operators and includes provisional  | 25/08/2023 | 22/12/2023 |              |
| paths in the New Working Timetable                                            |            |            |              |
| D37 – Network Rail publish the Strategic Capacity Statement                   | 15/09/2023 | 12/01/2024 |              |
| D35 – NR to provide copy of ‘Prior Working Timetable’                         | 29/09/2023 | 26/01/2024 | 31/05/2024   |
| D34 - Timetable Change Risk Assessment Group                                  | 06/10/2023 | 02/02/2024 | 07/06/2024   |
| D32 – End of Initial Consultation Period                                      | 20/10/2023 | 16/02/2024 |              |
| D32 – Priority Date                                                           | 20/10/2023 | 16/02/2024 | 21/06/2024   |
| D26 - Timetable Change Assurance Group                                        | 01/12/2023 | 29/03/2024 | 02/08/2024   |
| D22 – A draft New Working Timetable is published                              | 29/12/2023 | 26/04/2024 | 30/08/2024   |
| D20 - Offer Response Period Ends                                              | 12/01/2024 | 10/05/2024 | 13/09/2024   |
| D18 - New Working Timetable is published in final form/ refresh offer         | 26/01/2024 | 24/05/2024 | 27/09/2024   |
| D15 - Timetable Briefing process complete                                     | 16/02/2024 | 14/06/2024 | 18/10/2024   |
| D14 - CIF Electronic Data available                                           | 23/02/2024 | 21/06/2024 | 25/10/2024   |
| D-32 – Start of notification period for SWIP                                  |            |            | 21/06/2024   |
| D-22 – End of notification period for SWIP                                    |            |            | 30/08/2024   |
