|           |                                                               |
|:----------|:--------------------------------------------------------------|
| Notes:    |                                                               |
| Pass      | Passenger trains                                              |
| ECS Slide | Empty Coaching Stock with power operated sliding doors        |
|           | Not authorised (except where # shown)                         |
| P         | Permitted                                                     |
| +         | Subject to any relevant Route Availability restrictions       |
| *         | Subject to provisions of working manual – White Pages (Set H) |
|           | paragraph  H10/1                                              |
