|                   |              |        |                                            |                                            |
|:------------------|:-------------|:-------|:-------------------------------------------|:-------------------------------------------|
| STATION           | PLATFORM     | USABLE | NOTES                                      |                                            |
|                   |              | LENGTH |                                            |                                            |
| Hope (Derbyshire) | 1            | 95     |                                            |                                            |
| Hope (Derbyshire) | 2            | 95     |                                            |                                            |
| Horden            | 1            | 100    |                                            |                                            |
| Horden            | 1            | 100    |                                            |                                            |
| Hornbeam Park     | Down         | 87     |                                            |                                            |
| Hornbeam Park     | Up           | 86     |                                            |                                            |
| Hornsey           | Down         | 124    |                                            |                                            |
| Hornsey           | Up           | 126    |                                            |                                            |
| Horsforth         | Down         | 110    |                                            |                                            |
| Horsforth         | Up           | 115    |                                            |                                            |
| Howden            | Down         | 123    |                                            |                                            |
| Howden            | Up           | 120    |                                            |                                            |
| Hubberts Bridge   | Down         | 78     |                                            |                                            |
| Hubberts Bridge   | Up           | 23     |                                            |                                            |
| Huddersfield      | 1            | 180    |                                            |                                            |
| Huddersfield      | 2            | 65     |                                            |                                            |
| Huddersfield      | 4            | 213    | Down direction                             |                                            |
| Huddersfield      | 4            | 172    | Up direction to HU764 signal               |                                            |
|                   | Huddersfield | 4a     | 82                                         | Usable length between 3-car stop board and |
|                   |              |        |                                            | HU763 in rear                              |
| Huddersfield      | 4b           | 76.5   | Usable length between 3-car stop board and |                                            |
|                   |              |        | HU764 in rear                              |                                            |
| Huddersfield      | 5            | 39     | A class 150 set can use Platform 5 as the  |                                            |
|                   |              |        | driver’s cab can be beyond the end of the  |                                            |
|                   |              |        | usable passenger length.                   |                                            |
| Huddersfield      | 6            | 73     |                                            |                                            |
| Huddersfield      | 8            | 147    |                                            |                                            |
| Hull              | 1            | 75     |                                            |                                            |
| Hull              | 2            | 176    |                                            |                                            |
| Hull              | 3            | 171    |                                            |                                            |
| Hull              | 4            | 170    |                                            |                                            |
| Hull              | 5            | 229    |                                            |                                            |
| Hull              | 6            | 231    |                                            |                                            |
| Hull              | 7            | 229    |                                            |                                            |
| Hunmanby          | Down         | 92     |                                            |                                            |
| Hunmanby          | Up           | 92     |                                            |                                            |
| Huntingdon        | 1            | 166    |                                            |                                            |
| Huntingdon        | 2            | 295    |                                            |                                            |
| Huntingdon        | 3            | 247    |                                            |                                            |
| Hutton Cranswick  | Down         | 83     |                                            |                                            |
| Hutton Cranswick  | Up           | 60     |                                            |                                            |
| Hykeham           | Down         | 78     |                                            |                                            |
| Hykeham           | Up           | 80     |                                            |                                            |
| Ilkley            | 1            | 199    |                                            |                                            |
| Ilkley            | 2            | 199    |                                            |                                            |
| James Cook        | Single       | 102    |                                            |                                            |
| Keighley          | Down         | 225    |                                            |                                            |
| Keighley          | Up           | 201    |                                            |                                            |
| Kildale           | Single       | 38     |                                            |                                            |
| Kirk Sandall      | Down         | 104    |                                            |                                            |
| Kirk Sandall      | Up           | 104    |                                            |                                            |
| Kirkstall Forge   | Down         | 143    |                                            |                                            |
| Kirkstall Forge   | Up           | 143    |                                            |                                            |
