|            |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
|:-----------|:-------------|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|:----|
| 1st Move   | 2nd Move >>> |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
|            | Arr          | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr | Arr |
|            | 1 S          | 2 S | 3 S | 4 S | 5 S | 5   | 5   | 6 S | 6   | 6   | 7 S | 7   | 7   | 8 S | 8   | 8   | 9 S | 9   | 9   | 10  | 10  | 11  | 12  | 13  | 13  | 14  | 14  | 15  | 16  | 17  |
|            |              |     |     |     |     | S2  | ML  |     | S2  | ML  |     | S2  | ML  |     | S2  | ML  |     | S2  | ML  | S   | ML  | ML  | ML  | ML  | EL  | ML  | EL  | EL  | EL  | EL  |
|            |              |     |     |     | S1  |     |     | S1  |     |     | S1  |     |     | S1  |     |     | S1  |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 1 S    | 3            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 2 S    | 3            | 3   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 3 S    | 3            | 3   | 3   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 4 S    | 3            | 3   | 3   | 3   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 5 S    | 3            | 3   | 3   | 3   | 3   | 3   | 4   | Px  | 3   | Px  | Px  | 3   | Px  | Px  | 3   | Px  | Px  | 3   | Px  | Px  | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 5 ML / | P            | P   | P   | P   | 3   | 3   | 4   | 3   | 3   | Px  | 3   | 3   | Px  | 3   | 3   | Px  | 3   | 3   | Px  | 3   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| ML1        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 5 ML2  | P            | P   | P   | P   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 4   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
