|                                                                                                                  |                                                                                                              |
|:-----------------------------------------------------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------|
| Appledore                                                                                                        |                                                                                                              |
|                                                                                                                  | Trains longer than 80m / 12SLU / 4 cars cannot be stood at Platform 2 for longer than 2 minutes due to level |
|                                                                                                                  | crossing being automatically enabled when approaching the platform. Pathing time must be added approaching   |
|                                                                                                                  | Appledore if more time is required                                                                           |
|                                                                                                                  | Ashford International                                                                                        |
|                                                                                                                  | Refer to Kent Timetable Planning Rules – SO130                                                               |
| SO610 APPLEDORE TO LYDD TOWN                                                                                     |                                                                                                              |
| Appledore                                                                                                        |                                                                                                              |
| See entry under route – SO600                                                                                    |                                                                                                              |
| SO620 BRIGHTON TO SEAFORD                                                                                        |                                                                                                              |
| London Road                                                                                                      |                                                                                                              |
| Planning Note                                                                                                    |                                                                                                              |
| Trains formed of a 12 car Class 700 EMU must not be planned into this station, due to operational restrictions   |                                                                                                              |
| Moulsecoomb                                                                                                      |                                                                                                              |
| Planning Note                                                                                                    |                                                                                                              |
| Trains formed of a 12 car Class 700 EMU must not be planned to use this station, due to operational restrictions |                                                                                                              |
| Falmer                                                                                                           |                                                                                                              |
| Planning Note                                                                                                    |                                                                                                              |
| Trains formed of a 12 car Class 700 EMU must not be planned to use this station, due to operational restrictions |                                                                                                              |
| Lewes                                                                                                            |                                                                                                              |
