|                                 |    |
|:--------------------------------|:---|
| Partick                         |    |
| Dwell Time                      |    |
| MU towards Glasgow Queen        | 1  |
| Street Low Level or Glasgow     |    |
| Cental Low Level                |    |
| Terminating service formed of 1 | 1  |
| unit                            |    |
| Terminating service formed of 2 | 2  |
| units                           |    |
| Platform re-occupation          | 2  |
| Hyndland                        |    |
| Connectional Allowance          | 3  |
| Dwell Time                      |    |
| MU towards Anniesland or Yoker  | 1  |
