|    |        |       |                             |       |                             |    |      |
|:---|:-------|:------|:----------------------------|:------|:----------------------------|:---|:-----|
| SX | 7M18EV | 07:21 | Doncaster Up Decoy          | 11:10 | Toton North Yard            | Y  | GBRf |
| SX | 7V41DC | 14:48 | Eastleigh East Yard         | 16:44 | Westbury Down T.C.          | Y  | GBRf |
| SX | 7X18GA | 07:21 | Doncaster Up Decoy          | 11:10 | Toton North Yard            | Y  | GBRf |
| SX | 7X41CA | 14:48 | Eastleigh East Yard         | 16:43 | Westbury Down T.C.          | Y  | GBRf |
| SX | 7X43CB | 19:56 | Eastleigh East Yard         | 23:35 | Hoo Junction Up Yard        | Y  | GBRf |
| SX | 7X44BA | 04:21 | Hoo Junction Up Yard        | 07:47 | Eastleigh East Yard         | Y  | GBRf |
| SO | 7X96FA | 07:44 | Bescot Up Engineers Sidings | 09:05 | Crewe Basford Hall SSM      | Y  | GBRf |
| SO | 7X97EA | 13:52 | Crewe Basford Hall SSM      | 15:14 | Bescot Up Engineers Sidings | Y  | GBRf |
| SO | 7X99EA | 08:09 | Bescot Up Engineers Sidings | 11:10 | Toton North Yard            | Y  | GBRf |
| SX | 7Y43BV | 19:56 | Eastleigh East Yard         | 23:35 | Hoo Junction Up Yard        | Y  | GBRf |
| SX | 7Y44CV | 04:21 | Hoo Junction Up Yard        | 07:47 | Eastleigh East Yard         | Y  | GBRf |
